scenario,queue,rounds,messages_per_round,throughput_median,throughput_min,throughput_max,throughput_cv_percent,seconds_median,seconds_min,cpu_cores_median,cpu_us_per_message,empty_polls_per_message,consumer_jain_median,ctx_switches_per_message,put_latency_samples,put_latency_p50_us,put_latency_p95_us,put_latency_p99_us,put_latency_max_us,get_latency_samples,get_latency_p50_us,get_latency_p95_us,get_latency_p99_us,get_latency_max_us,end_to_end_latency_samples,end_to_end_latency_p50_us,end_to_end_latency_p95_us,end_to_end_latency_p99_us,end_to_end_latency_max_us
scale_8p8c,Queue,3,294312,226110.23434649667,206569.99144566272,232776.39587129172,5.013425313075647,1.3016306000063196,1.2643549999920651,1.2844466010493936,5.680621245480986,0.10818111391992172,0.8984969603449197,-7.475060480034793e-05,0,,,,,0,,,,,0,,,,
scale_8p8c,SimpleQueue,3,500000,4307021.741071672,4101514.1163578564,4333063.5255204225,2.438370832889635,0.11608949990477413,0.11539180006366223,0.9478576462075925,0.21875,8.6e-05,0.5621438744891778,-2e-05,0,,,,,0,,,,,0,,,,
skew_1p8c,LockFreeQueue,3,621,1337.356457567395,1185.6272197176588,1445.009702273326,8.044432013186768,0.4643489000154659,0.42975489993114024,1.2230957127723434,880.6360708534621,36.247987117552334,0.9858100370150719,0.27375201288244766,0,,,,,0,,,,,0,,,,
skew_1p8c,Queue,3,293657,239935.04055620104,219045.82882586878,299001.98947235907,13.401199262445532,1.2239020999986678,0.9821238999720663,1.2638878550839023,5.267625154517005,0.5635111711963277,0.677904136776995,-5.108000149834671e-05,0,,,,,0,,,,,0,,,,
skew_1p8c,SimpleQueue,3,500000,4365736.997256996,4364993.795853434,4446203.167157842,0.867618335684091,0.11452820000704378,0.11245549994055182,0.9550049681499679,0.21875,0.000112,0.42718111725602714,-3.8e-05,0,,,,,0,,,,,0,,,,
skew_8p1c,LockFreeQueue,3,2984,8805.201442116473,8587.164031583929,8991.2612398757,1.8778019243634476,0.33889060001820326,0.33187780005391687,1.1065517898102135,125.67024128686327,1.0529490616621984,1.0,0.030160857908847184,0,,,,,0,,,,,0,,,,
skew_8p1c,Queue,3,347904,331664.163734238,310293.01169433515,406674.7665295087,11.823684474809928,1.0489646999631077,0.8554846000624821,1.3099672924888899,4.176798772075055,0.0,1.0,-8.623068432671082e-06,0,,,,,0,,,,,0,,,,
skew_8p1c,SimpleQueue,3,500000,3952512.927834162,3935842.615681034,4015654.627526175,0.8663032842092713,0.1265018000267446,0.12451270001474768,0.9881282319585405,0.25,0.0,1.0,-1.6e-05,0,,,,,0,,,,,0,,,,
switch_0.1ms,LockFreeQueue,3,256,587.738984104674,565.6229817120611,614.2074337063551,3.370905622784405,0.43556750006973743,0.41679729998577386,7.460161090549601,13122.55859375,0.15234375,0.9789674952198852,2.04296875,0,,,,,0,,,,,0,,,,
switch_0.1ms,Queue,3,77880,218495.34477813577,216135.92915771334,228352.9442449083,2.394376261969753,0.35643779998645186,0.34105100005399436,1.6493134455285174,7.423279404211607,0.01354648176682075,0.9999782887470576,-0.0006163328197226503,0,,,,,0,,,,,0,,,,
switch_0.1ms,SimpleQueue,3,190872,550232.1171693688,534763.4634438219,572735.4725958544,2.821404091211384,0.3468936000717804,0.3332638000138104,5.813712740236745,10.64194853095268,0.0,0.9992678337868237,-0.00033530323986755525,0,,,,,0,,,,,0,,,,
